DATE,GDP,PRIV_CONS,GROSS_FIXED_CAPITAL,GDP_trend_100,GDP_trend_400,GDP_trend_800,GDP_trend_1600,PRIV_CONS_trend_100,PRIV_CONS_trend_400,PRIV_CONS_trend_800,PRIV_CONS_trend_1600,GROSS_FIXED_CAPITAL_trend_100,GROSS_FIXED_CAPITAL_trend_400,GROSS_FIXED_CAPITAL_trend_800,GROSS_FIXED_CAPITAL_trend_1600
Mar-98,70.66,74.71,62.92,68.55611991780391,68.25959651477956,67.68028580940944,66.77469736030145,73.18350267556673,73.29209488418564,72.84123768808013,72.05908745207404,63.34959713282065,62.13034883454139,60.145658374623906,57.13964173859763
Jun-98,63.33,68.39,64.79,68.60837956649523,68.31353999294811,67.80010207625331,67.01948659264934,73.39244895534885,73.35276616055502,72.92606423128223,72.23734424439573,62.30354201547647,61.21424113588221,59.481251079943846,56.91391685423805
Sep-98,69.26,74.08,66.79,68.68167801600853,68.3734844798297,67.92364298583541,67.26670413914704,73.61666020837531,73.41698219971393,73.01322672737422,72.41725785705988,61.25319092680408,60.300107565136685,58.82031171229552,56.691804693791845
Dec-98,76.95,78.82,59.58,68.7442702715008,68.43297213415504,68.04904555329868,67.51647238482394,73.82137691833694,73.47588084905055,73.09939104895692,72.59808052025616,60.21911247532052,59.398861647378766,58.17294413486071,56.48184053313848
Mar-99,68.34,74.46,53.84,68.77019455796894,68.48776140345525,68.17611724005376,67.77015952462249,73.97647296684084,73.52225750045378,73.18255653522192,72.78010367801363,59.27724336027478,58.53764163876957,57.559214321180846,56.298871020223814
Jun-99,60.56,67.5,52.08,68.81554639769492,68.55490330492611,68.31579170056969,68.03502970824458,74.10180846631076,73.56226784368985,73.26787328654966,72.96750747403615,58.49712915616264,57.744038641351786,57.00094706462882,56.159679152660466
Sep-99,66.6,75.25,56.08,68.93211936738102,68.65107945225476,68.47920744276549,68.31870323568916,74.22207879950209,73.60441192477398,73.36208820765154,73.16552198722877,57.89394300387722,57.033899653071195,56.515318140676044,56.07951113367339
Dec-99,73.87,77.3,50.32,69.08915157975261,68.77298420086603,68.66780823493441,68.62412851338753,74.29596126450708,73.64203412011213,73.4647383616308,73.37596010432523,57.41868675274998,56.40891157527021,56.11335214096316,56.071063367017096
Mar-00,73.14,77.75,65.63,69.2325599538612,68.9121842075541,68.88068883606626,68.95317975824871,74.29241237142301,73.67259277629827,73.57772070133106,73.6019375108173,57.00422282207359,55.86837656015855,55.80552950945491,56.14703256198759
Jun-00,62.48,69.87,58.81,69.35606989296078,69.07298866861102,69.12344674485716,69.31100985686082,74.21042901770213,73.70269115462615,73.70772625664392,73.84902241713152,56.51242676361329,55.39637448100776,55.595088999939854,56.31652101327646
Sep-00,71.21,76.99,69.14,69.49248120076683,69.27027631980988,69.40700359895816,69.70538845846315,74.08358397708241,73.74912603444875,73.86666140658433,74.12537557275024,55.89143190091364,55.00138926968897,55.49754995431975,56.5945578702241
Dec-00,80.23,82.03,64.9,69.60583298206524,69.5024434252523,69.73397672758921,70.13981583113438,73.90204573312492,73.81911246723251,74.06163537234636,74.43667083814508,55.112347289883054,54.700438921870834,55.53245035324639,56.9977307065376
Mar-01,68.86,72.5,47.91,69.67733952963421,69.77273555824036,70.10923720547157,70.61873262516676,73.68504692961989,73.92796768935774,74.30366154836592,74.7903724640547,54.27876766742084,54.545887960047764,55.73638123992868,57.550467997255176
Jun-01,63.88,68.89,55.11,69.79445680643136,70.11121718351309,70.55077613641703,71.152885855958,73.5330997530263,74.11153615603673,74.61371378486348,75.19869053194392,53.59216429752746,54.615599809409524,56.15764309463402,58.282137135723445
Sep-01,66.33,69.85,48.86,70.0364673801179,70.54567092691389,71.07502307773048,71.75192333101512,73.53486592050692,74.40209240325835,75.010511355124,75.67240364048754,53.19032076752919,54.970848175245706,56.83475342107982,59.21608022279075
Dec-01,74.61,75.9,43.36,70.42350925029078,71.08830137132736,71.69006911654628,72.42094730418516,73.73257615169423,74.81885712662138,75.50561889020135,76.2183474567779,53.226199021776985,55.67414276332241,57.80492016911519,60.37365677359561
Mar-02,73.27,75.27,56.45,70.93865574274574,71.74077392232087,72.39807406115156,73.16167132723328,74.13161250701566,75.36967079071647,76.10415038195546,76.83971864563208,53.809457796946546,56.77271615896764,59.095382846812846,61.7697537531373
Jun-02,63.21,66.55,49.66,71.60684509077561,72.5135582320334,73.20484763343781,73.97717710985948,74.75903128538167,76.06507671731774,76.81171279863351,77.53951490470655,54.95109383949578,58.28301559060106,60.715324812034154,63.40862459093154
Sep-02,71.46,73.63,57.89,72.47632897024575,73.42094701779817,74.11728946272008,74.8706140671843,75.6532726606325,76.91536905122246,77.63287042050527,78.31975285750445,56.68850931791314,60.22068149624491,62.67062269408197,65.29119787039838
Dec-02,79.66,80.96,54.33,73.51139060611376,74.45397410136823,75.12980561877167,75.83840212863464,76.77068649375462,77.90705424543458,78.55936038684222,79.17558068071341,59.006195462292084,62.57979677494488,64.95333396624412,67.4098092845885
Mar-03,77.63,81.61,67.41,74.6661499336348,75.59877093695218,76.23348055953744,76.87482958984538,78.0473899191282,79.01842533032999,79.57791624889022,80.09921545548511,61.900658409547,65.34861762200609,67.5495403234408,69.75216877788358
Jun-03,67.78,73.13,56.04,75.95621298200288,76.85448404350515,77.4250614859388,77.97657324512095,79.46139320619578,80.235407700671,80.67827235741157,81.08398952504571,65.32164234196931,68.49477574079626,70.43204429313442,72.29781141386238
Sep-03,74.22,78.88,65.76,77.42682428107565,78.22533801263997,78.70304124819776,79.14078187027214,81.02633272520868,81.55040568789417,81.8527031678575,82.12417947296173,69.27398485775498,71.99105629062815,73.57347397738316,75.02480840061747
Dec-03,84.23,84.89,66.74,79.04146623089072,79.6928712258607,80.05385636967894,80.35823138283152,82.69253091435618,82.93806010418433,83.08404779523245,83.20909063934647,73.66970713168023,75.77910749146253,76.92846742287873,77.90106981410779
Mar-04,85.03,89.2,88.89,80.73155298867486,81.22860871963985,81.45833957218665,81.61662221166276,84.38884688457546,84.36633574750661,84.35142947558103,84.32600075214268,78.3856904899437,79.78499992253361,80.4418958338411,80.8887152250418
Jun-04,74.63,81.07,81.71,82.48038404934601,82.8154183523853,82.90254375706309,82.90607464101524,86.06611443766013,85.80807726556576,85.6362288852038,85.4632381076435,83.22951918742727,83.912206394347,84.04589483021168,83.94288853549428
Sep-04,82.92,89.7,95.54,84.31424337793536,84.44567146070585,84.37698640118526,84.21884231625607,87.72327890655811,87.2482134666977,86.92588741355688,86.612177251672,88.11382057411335,88.08696221760196,87.6831601621395,87.02373445052423
Dec-04,91.43,93.15,85.75,86.18091109898066,86.09127583532936,85.86184430173387,85.54200633610172,89.30932447984074,88.65982796607453,88.20213866398986,87.76144695623393,92.93602680811016,92.22999718701192,91.29346771123589,90.09000211985602
Mar-05,92.74,94.78,106.29,88.01422490324038,87.72032508833185,87.33547302288808,86.86183602282097,90.79300255701379,90.0221338452015,89.45018388058537,88.90160588255279,97.66783184178475,96.28067369174623,94.8264144089095,93.10576335918243
Jun-05,81.94,84.9,91.91,89.80051337048317,89.314259642201,88.78318832344996,88.16828069472255,92.18147129278465,91.32556961566863,90.66140913409612,90.02658053750437,102.20906935942308,100.16215412800669,98.22466785192992,96.03237748287131
Sep-05,89.35,92.11,111.28,91.57336283144521,90.86706910670364,90.19706162094295,89.45496352260088,93.52175881629051,92.57246845445297,91.83386276542403,91.13397142428781,106.54579472689323,103.82262420776576,101.44522511905564,98.83944395319097
Dec-05,98.81,99.14,105.08,93.28775448315776,92.3543074425011,91.56061034748613,90.71161500181617,94.78807854374067,93.74909961449237,92.95839135405345,92.21817493326631,110.56107261646903,107.18963925767582,104.4371899542302,101.49398574648293
Mar-06,99.28,98.45,122.64,94.87643589433763,93.74773593748786,92.85629310817248,91.92790002552704,95.94052630318154,94.8405761775885,94.0261866510119,93.27419747266299,114.1853097531553,110.20939804386984,107.16195956999837,103.97080118661808
Jun-06,87.37,90.7,111.0,96.32737708887011,95.0352551109522,94.07563024516048,93.09854497751599,96.98271713722212,95.84548847650686,95.03616741813431,94.3013715913676,117.29410213579219,112.82282523433658,109.58173469146199,106.24692985637564
Sep-06,97.59,98.74,129.68,97.67258373169702,96.21859614233868,95.21817173422352,94.22287130404956,97.9433608254395,96.77145040356893,95.99278218394188,95.30226471484949,119.84759266568832,115.00192200195515,111.67806359426052,108.3110795877933
Dec-06,104.86,101.47,120.74,98.8544877168715,97.28032707331454,96.27508551332846,95.29662011078338,98.78833997603863,97.613212129905,96.89505926768314,96.27719341133347,121.74298322279435,116.7141324565189,113.43426738566909,110.15492888174856
Mar-07,104.38,103.62,129.4,99.81469510112976,98.2064444551911,97.24050430577445,96.31763695880808,99.49150358896999,98.3704452006364,97.74546101087668,97.22862283359754,122.97579976040404,117.96359590281624,114.8561695934699,111.7835118143766
Jun-07,93.67,94.01,113.89,100.55486706403926,99.00189402159641,98.11929197796889,97.28974452164506,100.05351726442373,99.05246313055973,98.5521684309565,98.16226363853767,123.53153839958321,118.76451631449427,115.95872591121315,113.20847813126147
Sep-07,100.88,100.54,134.31,101.12231783415606,99.68705539502056,98.92523676593697,98.2218044497165,100.51633156670019,99.68170332147,99.33070571909296,99.08782109377884,123.45993726379355,119.15968867544312,116.77507182045716,114.45248788310334
Dec-07,108.81,108.19,126.86,101.49551296939586,100.26897846289967,99.66656529073151,99.12041605311856,100.86146188745542,100.26799701733583,100.0909193559178,100.01240530217203,122.71431909250083,119.17972167876664,117.33575689537129,115.53862707177035
Mar-08,105.09,104.02,125.85,101.65049484933277,100.75769547418233,100.35394762744781,99.99384001416632,101.07066030267856,100.82332120382222,100.84416743991385,100.94403397838451,121.35650725253295,118.89309979588015,117.69324937034924,116.50239264420367
Jun-08,99.49,99.19,126.09,101.63645072384695,101.18459123165982,101.00948314456774,100.85639300514174,101.19896426948412,101.37945787405077,101.61193192036897,101.89583583376978,119.48978191979273,118.38750819400201,117.91192278366553,117.38635740542465
Sep-08,103.35,101.71,136.03,101.53696289432531,101.59188129943807,101.66119127603892,101.72557679831783,101.3309046419599,101.9761807181336,102.4196645372712,102.88286205844481,117.26235819765778,117.7680242908609,118.06634661188177,118.23893641505202
Dec-08,110.1,108.54,121.68,101.41414915491625,102.01754476354384,102.33519210187826,102.61803917033947,101.53092263149878,102.64778978149774,103.28978961570812,103.91847269513048,114.88845337030767,117.15898173370057,118.24131292807996,119.11398450932612
Mar-09,100.0,100.0,100.0,101.34825767082482,102.50395600675536,103.0597167130076,103.55144316235251,101.86725040307405,103.42791965777488,104.24384440009564,105.01529474776109,112.7699611399454,116.73036910903764,118.54406837207725,120.07647593922785
Jun-09,85.48,90.36,81.36,101.50639511570697,103.113695549942,103.87270221022143,104.54812804102136,102.47821089534399,104.36493546614304,105.30992889783002,106.18884367483656,111.37669067507085,116.66347754905448,119.08615794253066,121.1929887154198
Sep-09,96.44,98.39,105.91,102.04218558651039,103.90308402395628,104.80826104842296,105.62821342103393,103.48345454293616,105.49863252663584,106.51083831080743,107.45150037563938,111.05075153278455,117.09777226316099,119.95594655263213,122.51755305110252
Dec-09,108.73,105.41,100.4,102.9489892290257,104.88435782077596,105.87751480475262,106.79990133705252,104.88144967152465,106.83379382062161,107.8506804298017,108.80575272215526,111.83408636343626,118.08445976689445,121.19464141814538,124.07930354152941
Mar-10,108.59,111.25,121.96,104.16414433317844,106.05109562231893,107.08112473004027,108.06565119035123,106.61973006135423,108.35743074815215,109.32341199769812,110.24842514863515,113.71723030204788,119.64677714513435,122.82589232164332,125.89699506129693
Jun-10,91.38,96.51,89.71,105.68279929660382,107.4064902159511,108.42331768160994,109.42912869386858,108.65111499595442,110.0529952247277,110.91993890684486,111.77421974387865,116.576377620007,121.76375033334295,124.8473557439263,127.97458292028809
Sep-10,104.16,106.76,119.02,107.54436107360536,108.96008164998261,109.91020661087306,110.89432727854904,110.97472645824121,111.9111705889781,112.63357528459291,113.37846458096743,120.37015028568072,124.42018832411969,127.25560580039253,130.31356180647253
Dec-10,118.55,121.48,130.58,109.64520862552064,110.68134374718375,111.52660032213909,112.45395966990351,113.46827528117112,113.8887826914714,114.43962283465973,115.0469475956433,124.78850649123619,127.52076573423062,130.00329491176043,132.8915110434948
Mar-11,120.51,124.4,150.84,111.84787730295119,112.52775012619979,113.25011986145392,114.09652963889384,115.96732503311827,115.92977945630318,116.30604129165707,116.76132018328495,129.50790292598373,130.95665670963152,133.0327809914979,135.67895147887043
Jun-11,102.08,112.98,117.94,114.10395037024335,114.47644604630804,115.06716552446073,115.8143509816881,118.38755652964504,117.99708685084025,118.2095908616533,118.50725439702373,134.2627112143213,134.6266834819425,136.2871428344331,138.64495926571274
Sep-11,115.92,122.36,156.21,116.45163231871393,116.52453239147022,116.97321245697594,117.60374591343006,120.72897733598262,120.0748063938087,120.13714919910228,120.27519646487647,139.000623951387,138.4793766410096,139.73171825915492,141.7680862124608
Dec-11,132.03,132.49,158.83,118.80888813597731,118.63811893053233,118.94750184791042,119.45245267989995,122.93751945206576,122.13449688680751,122.06905696988083,122.05213808086185,143.50610662017573,142.42155006797398,143.3089111557092,145.0139435280126
Mar-12,126.25,128.3,155.16,121.0883664864607,120.78180410136169,120.9679583706038,121.34715718568205,124.97542510446938,124.15343011545113,123.98843340336683,123.82637394120795,147.73571846416849,146.4043442023743,146.9817232663178,148.3571686173833
Jun-12,108.49,116.23,127.44,123.33492715323155,122.95366604449922,123.02885982108576,123.28240630243575,126.90046132524773,126.13476662313697,125.89142390772575,125.59272240584231,151.79925766064457,150.41992060857925,150.73255769425785,151.78103392088315
Sep-12,122.02,124.87,156.53,125.64504625449271,125.16545339023251,125.13108654742275,125.25581117857942,128.80364089541035,128.09203337797385,127.77956334936891,127.34879785097942,155.88076520224155,154.48232999045157,154.55404038872365,155.2730636484365
Dec-12,137.19,136.42,160.51,127.9667506369146,127.39275560373787,127.25734532290494,127.25573770859256,130.66927198271424,130.0139954315127,129.64230981482302,129.08636295133007,159.92068950499038,158.54817325033258,158.40968160179165,158.80556886376735
Mar-13,137.21,138.46,177.26,130.21181668462273,129.603298516716,129.38645406263817,129.268529404968,132.44232634596227,131.88136275185957,131.46548443642803,130.79563113294824,163.86597133289968,162.57917046558737,162.26546153505237,162.35164621581941
Jun-13,118.21,124.82,146.11,132.38425327537345,131.78930107185823,131.5096465000747,131.28673869413075,134.12528302413008,133.6908603185416,133.24338045925538,132.47139934504332,167.66944455492808,166.5419462804553,166.08998578809417,165.8854576229965
Sep-13,133.74,134.28,179.11,134.5580511200768,133.96199896556416,133.62793580108843,133.3078814216276,135.78079779273378,135.4556597042064,134.97903427283097,134.11325476736658,171.41788332670515,170.43982741301164,169.8706031335865,169.3904827248176
Dec-13,149.38,148.3,186.93,136.66545839688914,136.09867964155376,135.72571057342822,135.3213004713216,137.37847359704807,137.1667553307052,136.66495304110668,135.7160024550787,174.98246735831125,174.22506071563066,173.56968736196382,172.83784149978715
Mar-14,143.92,142.56,185.96,138.63054277276603,138.17607554613306,137.7874995050916,137.31660880118721,138.87290540442044,138.81220247062873,138.2927701351933,137.27455167911063,178.31129752655963,177.87156847215414,177.1611615097435,176.20472862470675
Jun-14,128.35,127.35,167.52,140.50451733069428,140.2041224265042,139.81489914585936,139.29220605640444,140.32790344622788,140.40788950824094,139.8686627349004,138.79167670885903,181.4719500346805,181.38503531463456,180.63564900424063,179.4771463754406
Sep-14,137.72,138.57,180.25,142.39148972593293,142.20711584100388,141.81717167113092,141.25061900165252,141.84414889980314,141.9790743216291,141.40414205736852,140.27345521892119,184.60848811063835,184.79136695394413,183.99477182088316,182.64719407246258
Dec-14,154.37,151.06,189.61,144.27402244043412,144.17971604190248,143.78924813237347,143.18753552282539,143.39254390801676,143.5183700651098,142.8950709913196,141.71881383595115,187.7254554820509,188.0818065126682,187.22375737384382,185.69949781976175
Mar-15,152.52,149.79,203.22,146.08796305889064,146.10536549186776,145.7209381164653,145.09643686894094,144.91124912474118,145.0098672071955,144.333769747904,143.12561452709127,190.78381099542952,191.2362436960073,190.30315211251917,188.61718547503193
Jun-15,132.89,136.64,171.37,147.87011894159104,147.9929823634628,147.61527715011925,146.9777933293155,146.41509976476874,146.45651029123593,145.72276469953283,144.49755750083654,193.76335894246515,194.23838869288033,193.2164852895886,191.38582895982975
Sep-15,147.59,145.5,205.54,149.72161781823493,149.86752141552097,149.48379958740264,148.83671492022222,147.96771855164445,147.8731941925629,147.07140250643246,145.84250820660242,196.76826550489434,197.10191108296607,195.96343221759093,194.00012695478995
Dec-15,164.55,157.3,206.66,151.59378622910612,151.7161799509671,151.31963318594512,150.66950678710347,149.5349772112656,149.25027251078006,148.37767637295474,147.16342112036637,199.67876327502924,199.78330947421125,198.51636010245292,196.4422682474472
Mar-16,157.58,155.48,207.7,153.41663453630602,153.5204614691871,153.11353845389203,152.47169487857659,151.05807028401313,150.57216586000976,149.63761525031845,148.46303665047674,202.462802190133,202.26017769685507,200.8596068598293,198.70165404598964
Jun-16,139.01,140.43,182.03,155.2497352396452,155.29395401968955,154.87281385790627,154.247480451517,152.5558425381554,151.84341917309735,150.85840099427617,149.75043056708176,205.15814455471872,204.52730130745118,202.98768995524676,200.77407164095084
Sep-16,154.59,152.9,209.02,157.19429449357116,157.06039449830996,156.61034094158347,156.00425745350083,154.09135803912068,153.0808469682381,152.0545184415177,151.03906424242288,207.8549246513981,206.59306541831106,204.9036773456573,202.6609322890854
Dec-16,164.37,160.07,208.68,159.18912110013497,158.8028099158346,158.31917273119697,157.73989640682203,155.60642242695576,154.27273021569454,153.22741692748997,152.33657377963715,210.41199531723572,208.4096118884775,206.58443987556893,204.35193220237227
Mar-17,169.33,164.44,224.85,161.1469809164519,160.49805129680394,159.98983682684312,159.45138392286606,157.0309277613161,155.40689776830857,154.3796026395881,153.65175836671,212.6998601427821,209.93514991344762,208.01199379280777,205.84074201010972
Jun-17,146.48,145.56,190.56,163.03244858863584,162.13688764096892,161.62042436270417,161.1398504277641,158.3394018775875,156.4856716533829,155.52213499404772,154.99825058301468,214.57170276541524,211.12856465899722,209.17097479535522,207.1237373839695
Sep-17,164.36,159.86,226.46,164.89192895363618,163.73216781983845,163.2207016769289,162.81260048269553,159.58046333354284,157.53395665379935,156.67864890380508,156.39642565894522,216.0022082210856,211.98602841611853,210.06706608895178,208.2091747818671
Dec-17,181.66,173.41,234.93,166.60630236251586,165.2575984858189,164.78150957721272,164.46777624232243,160.6749366681789,158.54934337330633,157.86032661305384,157.86075991828125,216.72594451808928,212.45229206415613,210.68268716084376,209.09495832585296
Mar-18,174.57,165.69,225.17,168.05112987680155,166.68845587176713,166.2951129941549,166.10448698600516,161.5464417871571,159.53523752401773,159.08232705485804,159.40789441876555,216.58205758251162,212.5082914114144,211.02074866566642,209.7903989037389
Jun-18,157.5,154.81,212.4,169.25250953439485,168.0410222143256,167.77487497138335,167.73258713295263,162.24594922945718,160.53219645961434,160.37924625401544,161.06418849319203,215.59173389525705,212.1911565360376,211.114470399104,210.3209543043831
Sep-18,174.13,164.94,244.55,170.30172807442918,169.35128361045747,169.24450216128338,169.36722204800762,162.86586511618714,161.59616443996694,161.79393982650532,162.85992779034297,213.86203936140492,211.56967178764145,211.01475872100883,210.721694567329
Dec-18,186.74,177.03,226.32,171.1725471406942,170.6288736015901,170.71485762252604,171.0171417290547,163.42423607616055,162.76878023379737,163.36230183048946,164.82148909119226,211.46812254708203,210.7131436245018,210.7741269032344,211.0289891356797
Mar-19,176.08,168.39,197.09,171.87701109623518,171.89537252012482,172.20291128608082,172.6940729101985,163.95985008702914,164.10004219872764,165.12415889934653,166.97654922184492,208.792011624801,209.77332932542544,210.48700726923295,211.30035014343375
Jun-19,153.97,149.77,182.28,172.58283883269044,173.21263851445894,173.74566451088927,174.41956911196297,164.64755276568292,165.67560174179516,167.13642228916723,169.36041532772396,206.36425354160363,208.94100331015792,210.2672644838279,211.6028466063799
Sep-19,171.5,165.1,193.32,173.49977913073587,174.6529913016895,175.3849650167852,176.21730005930323,165.70649122814154,167.5918351645407,169.46008555741784,172.00927796098873,204.59837512828355,208.37523167513132,210.21201695275582,211.99466607146726
Dec-19,188.04,179.34,193.8,174.6514523827204,176.24064400262722,177.1379409429639,178.09815449647937,167.20703706276788,169.90535476415033,172.13443423370344,174.94708366421878,203.66706068021838,208.1684280085021,210.3833990011488,212.515669306516
Mar-20,179.03,173.19,211.53,176.04148118968556,177.99192725982874,179.01686422234968,180.07007285521456,169.21349694564321,172.66654324989884,175.19330374068238,178.19346068126805,203.63021074150276,208.375367819239,210.82242993294795,213.19404541305164
Jun-20,160.04,155.66,180.44,177.8073736288456,179.95267010584416,181.0476343616882,182.14720922067167,171.91150718222116,175.94936994415073,178.67953645822078,181.77078282870033,204.44905524942914,209.01490554628953,211.54939980334305,214.04628619928314
Sep-20,153.66,149.3,182.54,180.11652296551802,182.17129675507402,183.25616728744728,184.343067632479,175.52646910849901,179.82911281114573,182.6334706365091,185.6982967601537,206.16382203387502,210.11378220905314,212.58548313010775,215.0878434450363
Dec-20,199.55,193.21,238.03,182.95864872873196,184.64644974665413,185.64211938314259,186.65733512450197,180.12126898865185,184.33032639026317,187.06667010516492,189.9789298899982,208.57464837222375,211.6273015630635,213.91296768126153,216.3131650012623
Mar-21,200.14,200.84,226.83,186.05890521786137,187.30549337783265,188.16815182318052,189.07052181333577,185.49652839576987,189.4012424388544,191.94903185551027,194.5928606971288,211.24543332151993,213.44183290833158,215.47658437091127,217.69635631675914
Jun-21,172.64,169.4,203.41,189.3083602449929,190.1130508214911,190.8143106327384,191.57119573112266,191.5837562130568,195.01229189829525,197.25813204123557,199.52228707925912,214.0346294550859,215.50975229096073,217.25121040356206,219.22509586219897
Sep-21,188.54,186.49,220.8,192.73889257003455,193.0658315170665,193.5756066472145,194.1548433338716,198.46789603975844,201.16250260386437,202.9826605262117,204.7533113961672,216.95653501302866,217.81690617478353,219.22591475325527,220.89277063555608
Dec-21,216.86,213.78,234.22,196.2156973504443,196.11686227694196,196.42433281371626,196.80511908025971,206.0120539129901,207.78687166109466,209.07648450925817,210.25320957820648,219.91920194090432,220.31889164290487,221.37246488102792,222.68288319989085
Mar-22,210.77,238.19,229.7,199.56198081797976,199.2078553347079,199.32648757104224,199.5021681518802,213.95955690946954,214.78371491900938,215.47285536353678,215.9778429861077,222.8691168341387,222.97876351299283,223.66459585447552,224.57887813661637
Jun-22,185.99,202.42,209.15,202.8073922308942,202.33238076826234,202.27361394197368,202.23867003090118,222.13141156678458,222.06633104747897,222.11090385657275,221.88527722461524,225.8957742687487,225.79432937360815,226.09210216009228,226.57141072514565
Sep-22,202.04,225.48,229.26,206.09366103926112,205.5129140171665,205.27155933982817,205.0143465943958,230.5909288534284,229.60653442907636,228.95815718668683,227.94746049660716,229.1569776524098,228.78019990452896,228.6523225395544,228.6543369460564
Dec-22,225.15,254.07,229.9,209.39434277084504,208.7310745690611,208.3058166604957,207.81876430066788,239.2043056222264,237.3270236187558,235.95752892237903,234.1241752066961,232.64307265011013,231.90937496209955,231.32141810683777,230.81062439822307
Mar-23,220.2,268.41,250.12,212.64245634301798,211.95979962654377,211.35783935069145,210.63963064139975,247.78662943746974,245.1401808353989,243.0475849356659,240.37366159668426,236.3454351503138,235.1560539029028,234.07630957274387,233.02361921992883
Jun-23,192.75,235.02,217.03,215.9285772454435,215.21307370578953,214.43013608630494,213.4754851305858,256.30164480722726,253.0002457388402,250.18953168741112,246.6666260488696,240.22801031498366,238.4894126461163,236.8921408754407,235.27609840920786
Sep-23,212.13,263.22,242.26,219.41885640435484,218.52548182390683,217.53626824403722,216.33084251306929,264.9193299451931,260.91963253682576,257.3762786573087,252.9912976570522,244.39248895457956,241.91603697616029,239.76411056613009,237.5615242020818
Dec-23,236.9,279.58,263.87,223.0476589735309,221.87545131373977,220.66269703048147,219.1972641054869,273.59684661698907,268.86580482275446,264.5817734104433,259.3286263737512,248.70858177641136,245.38886414583968,242.66258951991963,239.86195502306637
